Material,Material Description,Plnt,SLoc,S,Unrestr.,Total Value,Special stock number
1669767,"S7-1200,CPU1214C,14DI/10DO/2AI-SIEMENS",HRWB,AUT,,12,"27,491.75",
1669783,"S7-1200,CPU1214C,DC/DC/REL-SIEMENS     ",HRWB,AUT,,40,"14,441.73",
1681088,"S7-200,CPU224XP,24DIO,10kB,D/D/R-SIEMENS",HRWB,AUT,,48,"21,937.00",
1681606,"S7-1200,SM1221,8DIX24VDC-SIEMENS",HRWB,AUT,,3,"17,485.05",
1681619,"S7-200,CN,EM221,16DIX24VDC-SIEMENS",HRWB,AUT,,4,"8,231.38",
1683002,"S7-1200-SM 1221,16DI,SINK/SOURCE-SIEMENS",HRWB,AUT,,25,"5,960.00",
1683361,"S7-1200-SM 1221,16DI,SINK/SOURCE-SIEMENS",HRWB,AUT,,20,"7,386.82",
1683455,"S7-200,CN,EM222,8DOX24VDCRLY-SIEMENS",HRWB,AUT,,5,"26,126.00",
1689064,"S7 1200-SM 1223,8 DI/ 8DO,24VDC-SIEMENS",HRWB,AUT,,7,"1,17,450.57",
1689200,"S7-1200,EM223,16DI/16DO-SIEMENS",HRWB,AUT,,4,"1,55,472.96",
1757116,"S7-1200,EM223,16DI/16DO-SIEMENS",HRWB,AUT,Q,6,"9,513.54",C/4167/12
1788211,"S7-1200,SM 1223,16 DI/16 DO-SIEMENS85389",HRWB,AUT,,6,"9,764.06",
1923034,"S7-200,SB1231,1AI,12BIT+SIGN BIT-SIEMENS",HRWB,AUT,,15,"16,383.84",
2096235,"S7-1200,SM1231,4AI,12BIT+SIGNBIT-SIEMENS",HRWB,AUT,,1,"1,58,419.49",
2130017,"S7-1200,SM1231,8AI/10V-SIEMENS",HRWB,AUT,,17,"2,77,724.92",
2130020,"S7-1200,SM1231,ANALOG MODULE-SIEMENS",HRWB,AUT,,55,"58,394.28",
2130033,"S7-1200,SB1231 RTD 1AI,1CH-SIEMENS",HRWB,AUT,,117,"28,224.79",
2130114,"S7-1200,SM1231,ANALOG MODULE-SIEMENS",HRWB,AUT,,9,"11,305.74",
2130127,"S7-1200,SM1231,ANALOG MODULE-SIEMENS",HRWB,AUT,,10,"11,977.50",
2130402,"S7-1200,SM1232,2AO,13BIT-SIEMENS",HRWB,AUT,,75,"25,737.77",
2130415,S7-1200 SM1238 ENERGY METER 480V-SIEMENS,HRWB,AUT,,38,"15,425.00",
2130428,"S7-200,ANALOG MODEM-SIEMENS",HRWB,AUT,,32,"14,895.96",
2277064,"S7-1200,CM1241,RS232,9PIN,FEMALE-SIEMENS",HRWB,AUT,,3,"4,746.70",
2277954,"S7-1500,AI8XU/I/RTD/TC,16BIT,10V-SIEMENS",HRWB,AUT,,3,"35,280.41",
2294445,"S7-1500,AI8XU/I/RTD/TC,16BIT,10V-SIEMENS",HRWB,AUT,Q,1,"17,506.35",C/4167/11
2303132,"S7-1200,CM 1241,RS485,9PIN,MALE-SIEMENS",HRWB,AUT,,8,"18,933.94",
2315256,"S7-1200,CM 1241,RS485,9PIN,MALE-SIEMENS",HRWB,AUT,Q,3,"33,400.37",C/4167/11
2700775,"S7-200 SMART CPUSR40,AC/DC/RELAY-SIEMENS",HRWB,AUT,,1,"15,101.92",
2700973,"S7-200SMART,SMDR16 8DI/8DO,8DI-SIEMENS",HRWB,AUT,,1,"2,885.00",
2770024,"S7-200SMART SM AM06, 4AI/2AO-SIEMENS",HRWB,AUT,,83,"4,556.67",
2770215,"S7-200 SMART,SMAR02 RTD2-SIEMENS",HRWB,AUT,,50,"5,137.30",
2774017,"S7-300,CPU313C2DP16DI16DO3X30kHz-SIEMENS",HRWB,AUT,,486,"1,20,101.52",
2774091,"S7-300,CPU314,96kB MMC-SIEMENS         ",HRWB,AUT,,83,"54,842.41",
2775113,"S7-300 CPU315-2DP,256KB MMC-SIEMENS    ",HRWB,AUT,,101,"76,154.88",
2775210,"S7-300,CPU317-2DP,1MB-SIEMENS",HRWB,AUT,Q,3,"1,82,956.90",C/4167/11
2775249,"S7-300,SM321,16DIX24VDC,SRC I/PS-SIEMENS",HRWB,AUT,,5,"6,525.00",
2800004,"S7-300,SM321,32DIX24VDC-SIEMENS",HRWB,AUT,,18,"1,06,611.29",
2804393,"S7-300,SM322,8DOX24VDC,2A-SIEMENS",HRWB,AUT,,9,"9,346.88",
2810625,"S7-300,SM322,16DOX24VDC,0.5A-SIEMENS",HRWB,AUT,,2,"30,707.81",
2811103,"S7-300,SM322,16DOX24VDC,0.5A-SIEMENS   ",HRWB,AUT,,2,"37,620.00",
2814744,"S7-300,SM322,32DOX24VDC,0.5A-SIEMENS",HRWB,AUT,,3,"71,154.55",
2833563,"S7-300,SM323,8DI/8DOX24VDC-SIEMENS",HRWB,AUT,,8,"33,120.00",
